"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGDEBT","TOT","PC_GDP","A","2015",67.67892,
"AUT","GGDEBT","TOT","PC_GDP","A","2015",101.0813,
"BEL","GGDEBT","TOT","PC_GDP","A","2015",126.7598,
"CAN","GGDEBT","TOT","PC_GDP","A","2015",115.8694,
"CZE","GGDEBT","TOT","PC_GDP","A","2015",53.43172,
"DNK","GGDEBT","TOT","PC_GDP","A","2015",54.18339,
"FIN","GGDEBT","TOT","PC_GDP","A","2015",74.86843,
"FRA","GGDEBT","TOT","PC_GDP","A","2015",120.2689,
"DEU","GGDEBT","TOT","PC_GDP","A","2015",77.97884,
"GRC","GGDEBT","TOT","PC_GDP","A","2015",181.6135,
"HUN","GGDEBT","TOT","PC_GDP","A","2015",96.96346,
"IRL","GGDEBT","TOT","PC_GDP","A","2015",89.36586,
"ITA","GGDEBT","TOT","PC_GDP","A","2015",157.3484,
"JPN","GGDEBT","TOT","PC_GDP","A","2015",234.0447,
"LUX","GGDEBT","TOT","PC_GDP","A","2015",30.7234,
"MEX","GGDEBT","TOT","PC_GDP","A","2015",53.25415,
"NLD","GGDEBT","TOT","PC_GDP","A","2015",77.47247,
"NOR","GGDEBT","TOT","PC_GDP","A","2015",38.81716,
"POL","GGDEBT","TOT","PC_GDP","A","2015",69.3764,
"PRT","GGDEBT","TOT","PC_GDP","A","2015",149.2405,
"SVK","GGDEBT","TOT","PC_GDP","A","2015",59.22908,
"ESP","GGDEBT","TOT","PC_GDP","A","2015",116.849,
"SWE","GGDEBT","TOT","PC_GDP","A","2015",61.8073,
"CHE","GGDEBT","TOT","PC_GDP","A","2015",45.24474,
"TUR","GGDEBT","TOT","PC_GDP","A","2015",27.44061,
"GBR","GGDEBT","TOT","PC_GDP","A","2015",112.6199,
"USA","GGDEBT","TOT","PC_GDP","A","2015",125.8635,
"CHL","GGDEBT","TOT","PC_GDP","A","2015",24.51783,
"EST","GGDEBT","TOT","PC_GDP","A","2015",12.93966,
"ISR","GGDEBT","TOT","PC_GDP","A","2015",77.98354,
"SVN","GGDEBT","TOT","PC_GDP","A","2015",102.1078,
"LVA","GGDEBT","TOT","PC_GDP","A","2015",40.97542,
