"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELDLYPOP","TOT","PC_POP","A","1970",8.345078,"B"
"AUS","ELDLYPOP","TOT","PC_POP","A","1971",8.344309,
"AUS","ELDLYPOP","TOT","PC_POP","A","1972",8.406,
"AUS","ELDLYPOP","TOT","PC_POP","A","1973",8.50594,
"AUS","ELDLYPOP","TOT","PC_POP","A","1974",8.60741,
"AUS","ELDLYPOP","TOT","PC_POP","A","1975",8.720712,
"AUS","ELDLYPOP","TOT","PC_POP","A","1976",8.927668,
"AUS","ELDLYPOP","TOT","PC_POP","A","1977",9.072448,
"AUS","ELDLYPOP","TOT","PC_POP","A","1978",9.240117,
"AUS","ELDLYPOP","TOT","PC_POP","A","1979",9.436164,
"AUS","ELDLYPOP","TOT","PC_POP","A","1980",9.617167,
"AUS","ELDLYPOP","TOT","PC_POP","A","1981",9.749874,
"AUS","ELDLYPOP","TOT","PC_POP","A","1982",9.870545,
"AUS","ELDLYPOP","TOT","PC_POP","A","1983",9.976697,
"AUS","ELDLYPOP","TOT","PC_POP","A","1984",10.10172,
"AUS","ELDLYPOP","TOT","PC_POP","A","1985",10.26727,
"AUS","ELDLYPOP","TOT","PC_POP","A","1986",10.50115,
"AUS","ELDLYPOP","TOT","PC_POP","A","1987",10.69417,
"AUS","ELDLYPOP","TOT","PC_POP","A","1988",10.83574,
"AUS","ELDLYPOP","TOT","PC_POP","A","1989",10.98162,
"AUS","ELDLYPOP","TOT","PC_POP","A","1990",11.09503,
"AUS","ELDLYPOP","TOT","PC_POP","A","1991",11.28622,
"AUS","ELDLYPOP","TOT","PC_POP","A","1992",11.45374,
"AUS","ELDLYPOP","TOT","PC_POP","A","1993",11.64162,
"AUS","ELDLYPOP","TOT","PC_POP","A","1994",11.79444,
"AUS","ELDLYPOP","TOT","PC_POP","A","1995",11.90225,
"AUS","ELDLYPOP","TOT","PC_POP","A","1996",12.02744,
"AUS","ELDLYPOP","TOT","PC_POP","A","1997",12.14243,
"AUS","ELDLYPOP","TOT","PC_POP","A","1998",12.24742,
"AUS","ELDLYPOP","TOT","PC_POP","A","1999",12.34319,
"AUS","ELDLYPOP","TOT","PC_POP","A","2000",12.42314,
"AUS","ELDLYPOP","TOT","PC_POP","A","2001",12.54994,
"AUS","ELDLYPOP","TOT","PC_POP","A","2002",12.6494,
"AUS","ELDLYPOP","TOT","PC_POP","A","2003",12.73262,
"AUS","ELDLYPOP","TOT","PC_POP","A","2004",12.83801,
"AUS","ELDLYPOP","TOT","PC_POP","A","2005",12.94543,
"AUS","ELDLYPOP","TOT","PC_POP","A","2006",13.02626,
"AUS","ELDLYPOP","TOT","PC_POP","A","2007",13.14096,
"AUS","ELDLYPOP","TOT","PC_POP","A","2008",13.20062,
"AUS","ELDLYPOP","TOT","PC_POP","A","2009",13.32749,
"AUS","ELDLYPOP","TOT","PC_POP","A","2010",13.55755,
"AUS","ELDLYPOP","TOT","PC_POP","A","2011",13.82274,
"AUS","ELDLYPOP","TOT","PC_POP","A","2012",14.15875,
"AUS","ELDLYPOP","TOT","PC_POP","A","2013",14.43397,
"AUS","ELDLYPOP","TOT","PC_POP","A","2014",14.71202,
"AUT","ELDLYPOP","TOT","PC_POP","A","1970",14.07584,
"AUT","ELDLYPOP","TOT","PC_POP","A","1971",14.21428,
"AUT","ELDLYPOP","TOT","PC_POP","A","1972",14.34364,
"AUT","ELDLYPOP","TOT","PC_POP","A","1973",14.47384,
"AUT","ELDLYPOP","TOT","PC_POP","A","1974",14.65295,
"AUT","ELDLYPOP","TOT","PC_POP","A","1975",14.87109,
"AUT","ELDLYPOP","TOT","PC_POP","A","1976",15.04021,
"AUT","ELDLYPOP","TOT","PC_POP","A","1977",15.19151,
"AUT","ELDLYPOP","TOT","PC_POP","A","1978",15.34134,
"AUT","ELDLYPOP","TOT","PC_POP","A","1979",15.45167,
"AUT","ELDLYPOP","TOT","PC_POP","A","1980",15.40414,
"AUT","ELDLYPOP","TOT","PC_POP","A","1981",15.11236,
"AUT","ELDLYPOP","TOT","PC_POP","A","1982",14.73642,
"AUT","ELDLYPOP","TOT","PC_POP","A","1983",14.37423,
"AUT","ELDLYPOP","TOT","PC_POP","A","1984",14.16432,
"AUT","ELDLYPOP","TOT","PC_POP","A","1985",14.19453,
"AUT","ELDLYPOP","TOT","PC_POP","A","1986",14.34821,
"AUT","ELDLYPOP","TOT","PC_POP","A","1987",14.55084,
"AUT","ELDLYPOP","TOT","PC_POP","A","1988",14.74311,
"AUT","ELDLYPOP","TOT","PC_POP","A","1989",14.86771,
"AUT","ELDLYPOP","TOT","PC_POP","A","1990",14.934,
"AUT","ELDLYPOP","TOT","PC_POP","A","1991",14.94385,
"AUT","ELDLYPOP","TOT","PC_POP","A","1992",14.91368,
"AUT","ELDLYPOP","TOT","PC_POP","A","1993",14.92583,
"AUT","ELDLYPOP","TOT","PC_POP","A","1994",15.0107,
"AUT","ELDLYPOP","TOT","PC_POP","A","1995",15.12837,
"AUT","ELDLYPOP","TOT","PC_POP","A","1996",15.23093,
"AUT","ELDLYPOP","TOT","PC_POP","A","1997",15.31532,
