"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INCOMEINEQ","GINI","INEQ","A","2014",0.337,
"AUT","INCOMEINEQ","GINI","INEQ","A","2014",0.274,
"BEL","INCOMEINEQ","GINI","INEQ","A","2014",0.266,
"CAN","INCOMEINEQ","GINI","INEQ","A","2014",0.313,
"CZE","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"DNK","INCOMEINEQ","GINI","INEQ","A","2014",0.256,
"FIN","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"FRA","INCOMEINEQ","GINI","INEQ","A","2014",0.297,
"DEU","INCOMEINEQ","GINI","INEQ","A","2014",0.289,
"GRC","INCOMEINEQ","GINI","INEQ","A","2014",0.339,
"HUN","INCOMEINEQ","GINI","INEQ","A","2014",0.288,
"ISL","INCOMEINEQ","GINI","INEQ","A","2014",0.246,
"IRL","INCOMEINEQ","GINI","INEQ","A","2014",0.298,
"ITA","INCOMEINEQ","GINI","INEQ","A","2014",0.326,
"KOR","INCOMEINEQ","GINI","INEQ","A","2014",0.302,
"LUX","INCOMEINEQ","GINI","INEQ","A","2014",0.284,
"MEX","INCOMEINEQ","GINI","INEQ","A","2014",0.459,
"NLD","INCOMEINEQ","GINI","INEQ","A","2014",0.305,"P"
"NZL","INCOMEINEQ","GINI","INEQ","A","2014",0.349,
"NOR","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"POL","INCOMEINEQ","GINI","INEQ","A","2014",0.298,
"PRT","INCOMEINEQ","GINI","INEQ","A","2014",0.338,
"SVK","INCOMEINEQ","GINI","INEQ","A","2014",0.247,
"ESP","INCOMEINEQ","GINI","INEQ","A","2014",0.344,
"SWE","INCOMEINEQ","GINI","INEQ","A","2014",0.274,
"CHE","INCOMEINEQ","GINI","INEQ","A","2014",0.297,
"TUR","INCOMEINEQ","GINI","INEQ","A","2014",0.398,
"GBR","INCOMEINEQ","GINI","INEQ","A","2014",0.356,
"USA","INCOMEINEQ","GINI","INEQ","A","2014",0.394,
"EST","INCOMEINEQ","GINI","INEQ","A","2014",0.346,
"ISR","INCOMEINEQ","GINI","INEQ","A","2014",0.365,
"SVN","INCOMEINEQ","GINI","INEQ","A","2014",0.251,
"LVA","INCOMEINEQ","GINI","INEQ","A","2014",0.35,
"LTU","INCOMEINEQ","GINI","INEQ","A","2014",0.381,
"CRI","INCOMEINEQ","GINI","INEQ","A","2014",0.491,
