"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUTRY","25_34","PC_AGE","A","2016",49.30521,
"AUT","EDUTRY","25_34","PC_AGE","A","2016",39.671021,
"BEL","EDUTRY","25_34","PC_AGE","A","2016",44.311111,
"CAN","EDUTRY","25_34","PC_AGE","A","2016",60.582603,
"CZE","EDUTRY","25_34","PC_AGE","A","2016",32.564495,
"DNK","EDUTRY","25_34","PC_AGE","A","2016",45.882004,
"FIN","EDUTRY","25_34","PC_AGE","A","2016",41.13372,
"FRA","EDUTRY","25_34","PC_AGE","A","2016",44.036968,
"DEU","EDUTRY","25_34","PC_AGE","A","2016",30.527618,
"GRC","EDUTRY","25_34","PC_AGE","A","2016",40.979172,
"HUN","EDUTRY","25_34","PC_AGE","A","2016",30.400248,
"ISL","EDUTRY","25_34","PC_AGE","A","2016",43.270977,
"ITA","EDUTRY","25_34","PC_AGE","A","2016",25.584146,
"JPN","EDUTRY","25_34","PC_AGE","A","2016",60.120392,
"KOR","EDUTRY","25_34","PC_AGE","A","2016",69.988991,
"LUX","EDUTRY","25_34","PC_AGE","A","2016",51.431648,
"MEX","EDUTRY","25_34","PC_AGE","A","2016",21.791378,
"NLD","EDUTRY","25_34","PC_AGE","A","2016",45.223412,
"NZL","EDUTRY","25_34","PC_AGE","A","2016",43.396225,
"NOR","EDUTRY","25_34","PC_AGE","A","2016",48.614609,
"POL","EDUTRY","25_34","PC_AGE","A","2016",43.47826,
"PRT","EDUTRY","25_34","PC_AGE","A","2016",34.964241,
"SVK","EDUTRY","25_34","PC_AGE","A","2016",33.372261,
"ESP","EDUTRY","25_34","PC_AGE","A","2016",40.980919,
"SWE","EDUTRY","25_34","PC_AGE","A","2016",47.215698,
"CHE","EDUTRY","25_34","PC_AGE","A","2016",48.844658,
"TUR","EDUTRY","25_34","PC_AGE","A","2016",30.456598,
"GBR","EDUTRY","25_34","PC_AGE","A","2016",51.974575,
"USA","EDUTRY","25_34","PC_AGE","A","2016",47.521809,
"EST","EDUTRY","25_34","PC_AGE","A","2016",41.048111,
"ISR","EDUTRY","25_34","PC_AGE","A","2016",47.449234,
"SVN","EDUTRY","25_34","PC_AGE","A","2016",42.977364,
"OAVG","EDUTRY","25_34","PC_AGE","A","2016",43.066575,
"LVA","EDUTRY","25_34","PC_AGE","A","2016",42.097309,
"COL","EDUTRY","25_34","PC_AGE","A","2016",28.074512,
"LTU","EDUTRY","25_34","PC_AGE","A","2016",54.926018,
"CRI","EDUTRY","25_34","PC_AGE","A","2016",28.922903,
