"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUTRY","25_34","PC_AGE","A","2016",49.30521,
"AUT","EDUTRY","25_34","PC_AGE","A","2016",39.671021,
"BEL","EDUTRY","25_34","PC_AGE","A","2016",44.311111,
"CAN","EDUTRY","25_34","PC_AGE","A","2016",60.582603,
"CZE","EDUTRY","25_34","PC_AGE","A","2016",32.564495,
"DNK","EDUTRY","25_34","PC_AGE","A","2016",45.882004,
"FIN","EDUTRY","25_34","PC_AGE","A","2016",41.13372,
"FRA","EDUTRY","25_34","PC_AGE","A","2016",44.036968,
"DEU","EDUTRY","25_34","PC_AGE","A","2016",30.527618,
"GRC","EDUTRY","25_34","PC_AGE","A","2016",40.979172,
"HUN","EDUTRY","25_34","PC_AGE","A","2016",30.400248,
"ISL","EDUTRY","25_34","PC_AGE","A","2016",43.270977,
"ITA","EDUTRY","25_34","PC_AGE","A","2016",25.584146,
"JPN","EDUTRY","25_34","PC_AGE","A","2016",60.120392,
"KOR","EDUTRY","25_34","PC_AGE","A","2016",69.988991,
"LUX","EDUTRY","25_34","PC_AGE","A","2016",51.431648,
"MEX","EDUTRY","25_34","PC_AGE","A","2016",21.791378,
"NLD","EDUTRY","25_34","PC_AGE","A","2016",45.223412,
"NZL","EDUTRY","25_34","PC_AGE","A","2016",43.396225,
"NOR","EDUTRY","25_34","PC_AGE","A","2016",48.614609,
"POL","EDUTRY","25_34","PC_AGE","A","2016",43.47826,
"PRT","EDUTRY","25_34","PC_AGE","A","2016",34.964241,
"SVK","EDUTRY","25_34","PC_AGE","A","2016",33.372261,
"ESP","EDUTRY","25_34","PC_AGE","A","2016",40.980919,
"SWE","EDUTRY","25_34","PC_AGE","A","2016",47.215698,
"CHE","EDUTRY","25_34","PC_AGE","A","2016",48.844658,
"TUR","EDUTRY","25_34","PC_AGE","A","2016",30.456598,
"GBR","EDUTRY","25_34","PC_AGE","A","2016",51.974575,
"USA","EDUTRY","25_34","PC_AGE","A","2016",47.521809,
"EST","EDUTRY","25_34","PC_AGE","A","2016",41.048111,
"ISR","EDUTRY","25_34","PC_AGE","A","2016",47.449234,
"SVN","EDUTRY","25_34","PC_AGE","A","2016",42.977364,
"AUS","EDUTRY","55_64","PC_AGE","A","2016",34.965424,
"CAN","EDUTRY","55_64","PC_AGE","A","2016",46.21072,
"CHE","EDUTRY","55_64","PC_AGE","A","2016",31.622665,
"USA","EDUTRY","55_64","PC_AGE","A","2016",41.91584,
"BEL","EDUTRY","55_64","PC_AGE","A","2016",27.489843,
"PRT","EDUTRY","55_64","PC_AGE","A","2016",13.147831,
"SWE","EDUTRY","55_64","PC_AGE","A","2016",30.792175,
"GBR","EDUTRY","55_64","PC_AGE","A","2016",37.558235,
"EST","EDUTRY","55_64","PC_AGE","A","2016",36.096016,
"HUN","EDUTRY","55_64","PC_AGE","A","2016",17.239086,
"ITA","EDUTRY","55_64","PC_AGE","A","2016",12.385381,
"LUX","EDUTRY","55_64","PC_AGE","A","2016",27.473686,
"NZL","EDUTRY","55_64","PC_AGE","A","2016",28.230469,
"SVN","EDUTRY","55_64","PC_AGE","A","2016",19.108551,
"AUT","EDUTRY","55_64","PC_AGE","A","2016",22.866629,
"CZE","EDUTRY","55_64","PC_AGE","A","2016",15.547841,
"FRA","EDUTRY","55_64","PC_AGE","A","2016",22.060652,
"NLD","EDUTRY","55_64","PC_AGE","A","2016",27.404032,
"POL","EDUTRY","55_64","PC_AGE","A","2016",13.88941,
"ESP","EDUTRY","55_64","PC_AGE","A","2016",23.221613,
"TUR","EDUTRY","55_64","PC_AGE","A","2016",10.177762,
"FIN","EDUTRY","55_64","PC_AGE","A","2016",37.021858,
"GRC","EDUTRY","55_64","PC_AGE","A","2016",20.874969,
"KOR","EDUTRY","55_64","PC_AGE","A","2016",19.672581,
"DNK","EDUTRY","55_64","PC_AGE","A","2016",29.86937,
"DEU","EDUTRY","55_64","PC_AGE","A","2016",26.290979,
"ISL","EDUTRY","55_64","PC_AGE","A","2016",28.920799,
"JPN","EDUTRY","55_64","PC_AGE","A","2016",39.72332,
"MEX","EDUTRY","55_64","PC_AGE","A","2016",12.60333,
"NOR","EDUTRY","55_64","PC_AGE","A","2016",32.973148,
"SVK","EDUTRY","55_64","PC_AGE","A","2016",13.909225,
"ISR","EDUTRY","55_64","PC_AGE","A","2016",47.615772,
"OAVG","EDUTRY","25_34","PC_AGE","A","2016",43.066575,
"LVA","EDUTRY","25_34","PC_AGE","A","2016",42.097309,
"COL","EDUTRY","25_34","PC_AGE","A","2016",28.074512,
"COL","EDUTRY","55_64","PC_AGE","A","2016",14.840204,
"LVA","EDUTRY","55_64","PC_AGE","A","2016",26.995855,
"LTU","EDUTRY","25_34","PC_AGE","A","2016",54.926018,
"LTU","EDUTRY","55_64","PC_AGE","A","2016",30.686686,
"CRI","EDUTRY","25_34","PC_AGE","A","2016",28.922903,
"CRI","EDUTRY","55_64","PC_AGE","A","2016",21.284702,
"OAVG","EDUTRY","55_64","PC_AGE","A","2016",26.541669,
